0 | glycosidic linkage | polar covalent bond | phosphodiester bond | ester linkage 
0 | glycosidic linkage | polar covalent bond | phosphodiester bond | ester linkage 
1 | glycosidic linkage | polar covalent bond | phosphodiester bond | ester linkage 
1 | glycosidic linkage | polar covalent bond | phosphodiester bond | ester linkage 
15 | phosphodiester bond | ester linkage | photosystem I | light-harvesting complex 
15 | phosphodiester bond | ester linkage | photosystem I | reaction-center complex 
15 | phosphodiester bond | ester linkage | photosystem I | reaction-center complex 
15 | phosphodiester bond | ester linkage | photosystem I | light-harvesting complex 
16 | phosphodiester bond | ester linkage | photosystem I | light-harvesting complex 
16 | phosphodiester bond | ester linkage | photosystem I | reaction-center complex 
16 | phosphodiester bond | ester linkage | photosystem I | reaction-center complex 
16 | phosphodiester bond | ester linkage | photosystem I | light-harvesting complex 
17 | microfibril | cellulose | amino acid sequence | amino acid 
17 | microfibril | cellulose | amino acid sequence | amino acid 
18 | microfibril | cellulose | amino acid sequence | amino acid 
18 | microfibril | cellulose | amino acid sequence | amino acid 
28 | granum | thylakoid | photosystem I | light-harvesting complex 
28 | granum | thylakoid | photosystem I | reaction-center complex 
28 | granum | thylakoid | photosystem I | reaction-center complex 
28 | granum | thylakoid | photosystem I | light-harvesting complex 
29 | granum | thylakoid | photosystem I | light-harvesting complex 
29 | granum | thylakoid | photosystem I | reaction-center complex 
29 | granum | thylakoid | photosystem I | reaction-center complex 
29 | granum | thylakoid | photosystem I | light-harvesting complex 
30 | granum | thylakoid | photosystem I | light-harvesting complex 
30 | granum | thylakoid | photosystem I | reaction-center complex 
30 | granum | thylakoid | photosystem I | reaction-center complex 
30 | granum | thylakoid | photosystem I | light-harvesting complex 
37 | endomembranous system | rough endoplasmic reticulum | phosphodiester bond | ester linkage 
37 | endomembranous system | rough endoplasmic reticulum | phosphodiester bond | ester linkage 
38 | endomembranous system | vesicle | phosphodiester bond | ester linkage 
38 | endomembranous system | vesicle | phosphodiester bond | ester linkage 
39 | endomembranous system | nuclear-envelope | phosphodiester bond | ester linkage 
39 | endomembranous system | nuclear-envelope | phosphodiester bond | ester linkage 
