0 | CAM plant | Starch storage by plant | thylakoid | Light reaction 
1 | CAM plant | Crassulacean acid metabolism | thylakoid | Light reaction 
3 | transport membrane protein | Facilitated diffusion | pepsin | Hydrolysis 
4 | PEP carboxylase | Carbon fixation | ribonuclease | Hydrolysis 
7 | CAM plant | Starch storage by plant | C4 plant | C4-photosynthesis 
7 | CAM plant | Starch storage by plant | C4 plant | Starch storage by plant 
8 | CAM plant | Crassulacean acid metabolism | C4 plant | C4-photosynthesis 
8 | CAM plant | Crassulacean acid metabolism | C4 plant | Starch storage by plant 
9 | plant | Starch storage by plant | plant | Starch storage by plant 
9 | plant | Starch storage by plant | plant | Photosynthesis 
10 | plant | Photosynthesis | plant | Starch storage by plant 
10 | plant | Photosynthesis | plant | Photosynthesis 
18 | cytoplasmic protein kinase | Phosphorylation | pepsin | Hydrolysis 
19 | cytoplasmic protein kinase | Phosphorylation | lysosome | Intracellular digestion 
19 | cytoplasmic protein kinase | Phosphorylation | lysosome | Autophagy 
21 | carbon 14 atom | Radioactivity | ribonuclease | Hydrolysis 
23 | mitochondrion | Eukaryotic oxidative phosphorylation | plant | Starch storage by plant 
23 | mitochondrion | Eukaryotic oxidative phosphorylation | plant | Photosynthesis 
24 | mitochondrion | Eukaryotic pyruvate oxidation | plant | Starch storage by plant 
24 | mitochondrion | Eukaryotic pyruvate oxidation | plant | Photosynthesis 
26 | chloroplast | Photosynthesis | pepsin | Hydrolysis 
29 | lysosomal enzyme | Hydrolysis | pepsin | Hydrolysis 
33 | PEP carboxylase | Carbon fixation | CAM plant | Starch storage by plant 
33 | PEP carboxylase | Carbon fixation | CAM plant | Crassulacean acid metabolism 
35 | phosphofructokinase | Phosphorylation | carbon 14 atom | Radioactivity 
36 | C4 plant | C4-photosynthesis | ATP synthase | Facilitated diffusion 
36 | C4 plant | C4-photosynthesis | ATP synthase | Synthesis of ATP 
37 | C4 plant | Starch storage by plant | ATP synthase | Facilitated diffusion 
37 | C4 plant | Starch storage by plant | ATP synthase | Synthesis of ATP 
40 | cytoplasmic protein kinase | Phosphorylation | radioactive isotope | Radioactivity 
51 | macrophage | Phagocytosis | lysosome | Intracellular digestion 
51 | macrophage | Phagocytosis | lysosome | Autophagy 
52 | cellulose | Adhesion | thylakoid | Light reaction 
57 | transport membrane protein | Facilitated diffusion | pepsin | Hydrolysis 
65 | C4 plant | C4-photosynthesis | pepsin | Hydrolysis 
66 | C4 plant | Starch storage by plant | pepsin | Hydrolysis 
68 | smooth endoplasmic reticulum | Metabolism | C4 plant | C4-photosynthesis 
68 | smooth endoplasmic reticulum | Metabolism | C4 plant | Starch storage by plant 
69 | C4 plant | C4-photosynthesis | pepsin | Hydrolysis 
70 | C4 plant | Starch storage by plant | pepsin | Hydrolysis 
85 | lysosomal enzyme | Hydrolysis | CAM plant | Starch storage by plant 
85 | lysosomal enzyme | Hydrolysis | CAM plant | Crassulacean acid metabolism 
91 | cellulose | Adhesion | plant | Starch storage by plant 
91 | cellulose | Adhesion | plant | Photosynthesis 
96 | C3 plant | Starch storage by plant | C4 plant | C4-photosynthesis 
96 | C3 plant | Starch storage by plant | C4 plant | Starch storage by plant 
97 | ribonuclease | Hydrolysis | ATP synthase | Facilitated diffusion 
97 | ribonuclease | Hydrolysis | ATP synthase | Synthesis of ATP 
