15 | hydrogenated vegetable oil | saturated fat | hydrophobic substance | hydrophobic compound 
24 | coenzyme A | atom | amylopectin | monomer 
24 | coenzyme A | atom | amylopectin | alpha glucose 
24 | coenzyme A | atom | amylopectin | hydrogen atom 
24 | coenzyme A | atom | amylopectin | oxygen atom 
24 | coenzyme A | atom | amylopectin | oxygen atom 
28 | rough endoplasmic reticulum | protein enzyme | unsaturated fat | unsaturated fatty acid 
29 | rough endoplasmic reticulum | aqueous solution | unsaturated fat | unsaturated fatty acid 
30 | rough endoplasmic reticulum | bound ribosome | unsaturated fat | unsaturated fatty acid 
31 | rough endoplasmic reticulum | ER membrane | unsaturated fat | unsaturated fatty acid 
32 | hydrogen atom | valence electron | water molecule | oxygen atom 
32 | hydrogen atom | valence electron | water molecule | hydrogen atom 
32 | hydrogen atom | valence electron | water molecule | hydrogen atom 
33 | hydrogen atom | proton | water molecule | oxygen atom 
33 | hydrogen atom | proton | water molecule | hydrogen atom 
33 | hydrogen atom | proton | water molecule | hydrogen atom 
34 | hydrogen atom | neutron | water molecule | oxygen atom 
34 | hydrogen atom | neutron | water molecule | hydrogen atom 
34 | hydrogen atom | neutron | water molecule | hydrogen atom 
35 | proton pump | polypeptide | capsule | aqueous solution 
36 | proton pump | phosphorus atom | capsule | aqueous solution 
37 | proton pump | oxygen atom | capsule | aqueous solution 
38 | proton pump | polar amino acid | capsule | aqueous solution 
39 | proton pump | oxygen atom | capsule | aqueous solution 
40 | proton pump | monomer | capsule | aqueous solution 
41 | proton pump | hydrophobic amino acid | capsule | aqueous solution 
49 | polar molecule | atom | polar substance | polar molecule 
50 | polar molecule | atom | polar substance | polar molecule 
51 | aldehyde | atom | cytoskeleton | intermediate filament 
51 | aldehyde | atom | cytoskeleton | microfilament 
51 | aldehyde | atom | cytoskeleton | microtubule 
58 | plastoquinone | atom | mesophyll | mesophyll cell 
58 | plastoquinone | atom | mesophyll | mesophyll cell 
58 | plastoquinone | atom | mesophyll | mesophyll cell 
115 | alpha tubulin | amino acid | heme | iron atom 
116 | alpha tubulin | monomer | heme | iron atom 
117 | alpha tubulin | atom | heme | iron atom 
120 | hydrophobic amino acid | hydrogen atom | polymer | monomer 
120 | hydrophobic amino acid | hydrogen atom | polymer | monomer 
121 | hydrophobic amino acid | oxygen atom | polymer | monomer 
121 | hydrophobic amino acid | oxygen atom | polymer | monomer 
122 | hydrophobic amino acid | oxygen atom | polymer | monomer 
122 | hydrophobic amino acid | oxygen atom | polymer | monomer 
123 | hydrophobic amino acid | hydrogen atom | polymer | monomer 
123 | hydrophobic amino acid | hydrogen atom | polymer | monomer 
124 | hydrophobic amino acid | nitrogen atom | polymer | monomer 
124 | hydrophobic amino acid | nitrogen atom | polymer | monomer 
130 | basic solution | cation | phospholipid bilayer | phospholipid 
130 | basic solution | cation | phospholipid bilayer | phospholipid 
130 | basic solution | cation | phospholipid bilayer | lipid 
130 | basic solution | cation | phospholipid bilayer | lipid 
130 | basic solution | cation | phospholipid bilayer | lipid 
130 | basic solution | cation | phospholipid bilayer | lipid 
130 | basic solution | cation | phospholipid bilayer | phospholipid 
131 | basic solution | water | phospholipid bilayer | phospholipid 
131 | basic solution | water | phospholipid bilayer | phospholipid 
131 | basic solution | water | phospholipid bilayer | lipid 
131 | basic solution | water | phospholipid bilayer | lipid 
131 | basic solution | water | phospholipid bilayer | lipid 
131 | basic solution | water | phospholipid bilayer | lipid 
131 | basic solution | water | phospholipid bilayer | phospholipid 
132 | basic solution | base | phospholipid bilayer | phospholipid 
132 | basic solution | base | phospholipid bilayer | phospholipid 
132 | basic solution | base | phospholipid bilayer | lipid 
132 | basic solution | base | phospholipid bilayer | lipid 
