0 | NADP Plus | carbon skeleton | enzyme | active site 
1 | glycoprotein | carbon skeleton | NADP Plus | carbon skeleton 
3 | phosphatidylcholine | hydrophilic head | lactate | hydroxyl group 
4 | phosphatidylcholine | fatty acid tail | lactate | hydroxyl group 
11 | carbon atom | atomic nucleus | endoplasmic reticulum | cisternal space 
14 | aldehyde | carbon skeleton | hexose | hydroxyl group 
14 | aldehyde | carbon skeleton | hexose | carbonyl group 
14 | aldehyde | carbon skeleton | hexose | carbon skeleton 
15 | aldehyde | carbonyl group | hexose | hydroxyl group 
15 | aldehyde | carbonyl group | hexose | carbonyl group 
15 | aldehyde | carbonyl group | hexose | carbon skeleton 
16 | maltose | carbonyl group | ketone | carbonyl group 
16 | maltose | carbonyl group | ketone | carbon skeleton 
17 | maltose | hydroxyl group | ketone | carbonyl group 
17 | maltose | hydroxyl group | ketone | carbon skeleton 
18 | maltose | carbon skeleton | ketone | carbonyl group 
18 | maltose | carbon skeleton | ketone | carbon skeleton 
20 | intermediate filament | carbon skeleton | hydrocarbon molecule | carbon skeleton 
22 | cytochrome | carbon skeleton | microfibril | carbon skeleton 
26 | fatty acid | carbon skeleton | phospholipid | carbon skeleton 
26 | fatty acid | carbon skeleton | phospholipid | fatty acid tail 
26 | fatty acid | carbon skeleton | phospholipid | fatty acid tail 
26 | fatty acid | carbon skeleton | phospholipid | hydrophilic head 
26 | fatty acid | carbon skeleton | phospholipid | phosphate group 
27 | fatty acid | carboxyl group | phospholipid | carbon skeleton 
27 | fatty acid | carboxyl group | phospholipid | fatty acid tail 
27 | fatty acid | carboxyl group | phospholipid | fatty acid tail 
27 | fatty acid | carboxyl group | phospholipid | hydrophilic head 
27 | fatty acid | carboxyl group | phospholipid | phosphate group 
31 | chloroplast membrane | intermembrane space | NAD plus | carbon skeleton 
37 | cytochrome | carbon skeleton | sulfur atom | atomic nucleus 
38 | glucose-6-phosphate | carbonyl group | hydrocarbon molecule | carbon skeleton 
39 | glucose-6-phosphate | carbon skeleton | hydrocarbon molecule | carbon skeleton 
40 | glucose-6-phosphate | phosphate group | hydrocarbon molecule | carbon skeleton 
41 | hydrocarbon molecule | carbon skeleton | pyruvate | carbon skeleton 
41 | hydrocarbon molecule | carbon skeleton | pyruvate | carboxyl group 
41 | hydrocarbon molecule | carbon skeleton | pyruvate | carbonyl group 
44 | alpha tubulin | amino end of a protein | prokaryote | nucleoid 
45 | alpha tubulin | carbon skeleton | prokaryote | nucleoid 
46 | sulfur atom | atomic nucleus | phospholipid | carbon skeleton 
