0 | gated Channel | phospholipid bilayer | ATP synthase | phospholipid bilayer 
1 | hydration shell | water | carrier protein | phospholipid bilayer 
2 | gated Channel | phospholipid bilayer | integral protein | phospholipid bilayer 
3 | stroma | chloroplast | integral protein | phospholipid bilayer 
4 | aquaporin | phospholipid bilayer | gated Channel | phospholipid bilayer 
5 | hydration shell | water | proton pump | phospholipid bilayer 
6 | carrier protein | phospholipid bilayer | integrin | phospholipid bilayer 
7 | microfibril | transport vesicle | ATP synthase | phospholipid bilayer 
8 | microfibril | transport vesicle | proton pump | phospholipid bilayer 
9 | hydration shell | water | ATP synthase | phospholipid bilayer 
10 | cytoplasmic protein kinase | cytoplasm | integral protein | phospholipid bilayer 
11 | sodium-potassium pump | phospholipid bilayer | tight junction | phospholipid bilayer 
12 | integral protein | phospholipid bilayer | ATP synthase | phospholipid bilayer 
13 | stroma | chloroplast | ATP synthase | phospholipid bilayer 
14 | sodium-potassium pump | phospholipid bilayer | integral protein | phospholipid bilayer 
15 | stroma | chloroplast | integrin | phospholipid bilayer 
16 | gated Channel | phospholipid bilayer | integrin | phospholipid bilayer 
17 | stroma | chloroplast | carrier protein | phospholipid bilayer 
18 | transport membrane protein | phospholipid bilayer | carrier protein | phospholipid bilayer 
19 | desmosome | phospholipid bilayer | hydration shell | water 
20 | cytoplasmic protein kinase | cytoplasm | ATP synthase | phospholipid bilayer 
21 | hydration shell | water | carrier protein | phospholipid bilayer 
22 | desmosome | phospholipid bilayer | carrier protein | phospholipid bilayer 
23 | cytoplasmic protein kinase | cytoplasm | gated Channel | phospholipid bilayer 
24 | microfibril | transport vesicle | gated Channel | phospholipid bilayer 
25 | gated Channel | phospholipid bilayer | stroma | chloroplast 
26 | desmosome | phospholipid bilayer | carrier protein | phospholipid bilayer 
27 | desmosome | phospholipid bilayer | aquaporin | phospholipid bilayer 
28 | gated Channel | phospholipid bilayer | tight junction | phospholipid bilayer 
29 | stroma | chloroplast | carrier protein | phospholipid bilayer 
30 | hydration shell | water | ATP synthase | phospholipid bilayer 
31 | integrin | phospholipid bilayer | carrier protein | phospholipid bilayer 
32 | ATP synthase | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
33 | carrier protein | phospholipid bilayer | microfibril | transport vesicle 
34 | integral protein | phospholipid bilayer | microfibril | transport vesicle 
35 | tight junction | phospholipid bilayer | gated Channel | phospholipid bilayer 
36 | integrin | phospholipid bilayer | stroma | chloroplast 
37 | stroma | chloroplast | stroma | chloroplast 
38 | gated Channel | phospholipid bilayer | aquaporin | phospholipid bilayer 
39 | aquaporin | phospholipid bilayer | microfibril | transport vesicle 
40 | sodium-potassium pump | phospholipid bilayer | tight junction | phospholipid bilayer 
41 | aquaporin | phospholipid bilayer | aquaporin | phospholipid bilayer 
42 | proton pump | phospholipid bilayer | microfibril | transport vesicle 
43 | tight junction | phospholipid bilayer | microfibril | transport vesicle 
44 | aquaporin | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
45 | transport membrane protein | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
46 | carrier protein | phospholipid bilayer | gated Channel | phospholipid bilayer 
47 | proton pump | phospholipid bilayer | desmosome | phospholipid bilayer 
48 | microfibril | transport vesicle | tight junction | phospholipid bilayer 
49 | desmosome | phospholipid bilayer | desmosome | phospholipid bilayer 
50 | tight junction | phospholipid bilayer | microfibril | transport vesicle 
51 | ATP synthase | phospholipid bilayer | tight junction | phospholipid bilayer 
52 | proton pump | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
53 | integrin | phospholipid bilayer | hydration shell | water 
54 | integrin | phospholipid bilayer | integral protein | phospholipid bilayer 
55 | transport membrane protein | phospholipid bilayer | desmosome | phospholipid bilayer 
56 | stroma | chloroplast | gated Channel | phospholipid bilayer 
57 | desmosome | phospholipid bilayer | hydration shell | water 
58 | microfibril | transport vesicle | hydration shell | water 
59 | transport membrane protein | phospholipid bilayer | carrier protein | phospholipid bilayer 
60 | ATP synthase | phospholipid bilayer | aquaporin | phospholipid bilayer 
61 | proton pump | phospholipid bilayer | integrin | phospholipid bilayer 
62 | tight junction | phospholipid bilayer | proton pump | phospholipid bilayer 
63 | ATP synthase | phospholipid bilayer | desmosome | phospholipid bilayer 
64 | sodium-potassium pump | phospholipid bilayer | integral protein | phospholipid bilayer 
65 | stroma | chloroplast | hydration shell | water 
66 | proton pump | phospholipid bilayer | microfibril | transport vesicle 
67 | proton pump | phospholipid bilayer | proton pump | phospholipid bilayer 
68 | aquaporin | phospholipid bilayer | tight junction | phospholipid bilayer 
69 | proton pump | phospholipid bilayer | stroma | chloroplast 
70 | tight junction | phospholipid bilayer | gated Channel | phospholipid bilayer 
71 | stroma | chloroplast | carrier protein | phospholipid bilayer 
72 | hydration shell | water | hydration shell | water 
73 | integral protein | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
74 | desmosome | phospholipid bilayer | carrier protein | phospholipid bilayer 
75 | tight junction | phospholipid bilayer | stroma | chloroplast 
76 | hydration shell | water | ATP synthase | phospholipid bilayer 
77 | integrin | phospholipid bilayer | integrin | phospholipid bilayer 
78 | desmosome | phospholipid bilayer | desmosome | phospholipid bilayer 
79 | gated Channel | phospholipid bilayer | desmosome | phospholipid bilayer 
80 | aquaporin | phospholipid bilayer | tight junction | phospholipid bilayer 
81 | proton pump | phospholipid bilayer | desmosome | phospholipid bilayer 
82 | microfibril | transport vesicle | sodium-potassium pump | phospholipid bilayer 
83 | hydration shell | water | carrier protein | phospholipid bilayer 
84 | cytoplasmic protein kinase | cytoplasm | desmosome | phospholipid bilayer 
85 | microfibril | transport vesicle | desmosome | phospholipid bilayer 
86 | desmosome | phospholipid bilayer | carrier protein | phospholipid bilayer 
87 | carrier protein | phospholipid bilayer | hydration shell | water 
88 | desmosome | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
89 | integral protein | phospholipid bilayer | proton pump | phospholipid bilayer 
90 | cytoplasmic protein kinase | cytoplasm | transport membrane protein | phospholipid bilayer 
91 | integral protein | phospholipid bilayer | gated Channel | phospholipid bilayer 
92 | gated Channel | phospholipid bilayer | proton pump | phospholipid bilayer 
93 | transport membrane protein | phospholipid bilayer | microfibril | transport vesicle 
94 | microfibril | transport vesicle | microfibril | transport vesicle 
95 | hydration shell | water | transport membrane protein | phospholipid bilayer 
96 | tight junction | phospholipid bilayer | hydration shell | water 
97 | transport membrane protein | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
