0 | ethyl alcohol | polar covalent bond | pyruvate | kinetic energy 
1 | ethyl alcohol | polar covalent bond | pyruvate | kinetic energy 
2 | ice | hydrogen-bond | polymer | covalent bond 
3 | ice | hydrogen-bond | motor protein | kinetic energy 
4 | ice | hydrogen-bond | pyruvate | kinetic energy 
5 | lysosomal enzyme | kinetic energy | unsaturated fat | double bond 
6 | FADH2 | kinetic energy | phospholipid | kinetic energy 
6 | FADH2 | kinetic energy | phospholipid | ester linkage 
7 | glucose | kinetic energy | glycogen | polar covalent bond 
7 | glucose | kinetic energy | glycogen | kinetic energy 
8 | glucose | double bond | glycogen | polar covalent bond 
8 | glucose | double bond | glycogen | kinetic energy 
9 | glucose | polar covalent bond | glycogen | polar covalent bond 
9 | glucose | polar covalent bond | glycogen | kinetic energy 
10 | phosphatidylcholine | ester linkage | aspartic acid | single bond 
10 | phosphatidylcholine | ester linkage | aspartic acid | kinetic energy 
11 | microfibril | kinetic energy | oligosaccharide | double bond 
11 | microfibril | kinetic energy | oligosaccharide | polar covalent bond 
11 | microfibril | kinetic energy | oligosaccharide | glycosidic linkage 
12 | polymer | covalent bond | hydroxide ion | polar covalent bond 
13 | carrier protein | kinetic energy | fatty acid | kinetic energy 
14 | carrier protein | peptide linkage | fatty acid | kinetic energy 
15 | ATP synthase | kinetic energy | tubulin | kinetic energy 
16 | ATP synthase | peptide linkage | tubulin | kinetic energy 
17 | sucrose | kinetic energy | P700 | single bond 
18 | sucrose | polar covalent bond | P700 | single bond 
19 | sucrose | double bond | P700 | single bond 
20 | fatty acid | kinetic energy | sucrose | kinetic energy 
20 | fatty acid | kinetic energy | sucrose | polar covalent bond 
20 | fatty acid | kinetic energy | sucrose | double bond 
21 | rubisco | kinetic energy | unsaturated fat | double bond 
22 | rubisco | disulfide bond | unsaturated fat | double bond 
23 | sodium-potassium pump | kinetic energy | monosaccharide | double bond 
23 | sodium-potassium pump | kinetic energy | monosaccharide | polar covalent bond 
24 | sodium-potassium pump | double bond | monosaccharide | double bond 
24 | sodium-potassium pump | double bond | monosaccharide | polar covalent bond 
25 | sodium-potassium pump | single bond | monosaccharide | double bond 
25 | sodium-potassium pump | single bond | monosaccharide | polar covalent bond 
26 | sodium-potassium pump | peptide linkage | monosaccharide | double bond 
26 | sodium-potassium pump | peptide linkage | monosaccharide | polar covalent bond 
27 | hydrophobic substance | nonpolar covalent bond | glycoprotein | kinetic energy 
28 | peripheral protein | kinetic energy | water | potential energy 
28 | peripheral protein | kinetic energy | water | hydrogen-bond 
29 | carbohydrate side chain | polar covalent bond | unsaturated fatty acid | kinetic energy 
30 | carbohydrate side chain | double bond | unsaturated fatty acid | kinetic energy 
31 | carbohydrate side chain | kinetic energy | unsaturated fatty acid | kinetic energy 
32 | rubisco | kinetic energy | plant cell | turgor pressure 
33 | rubisco | disulfide bond | plant cell | turgor pressure 
34 | gated Channel | kinetic energy | water | potential energy 
34 | gated Channel | kinetic energy | water | hydrogen-bond 
35 | gated Channel | peptide linkage | water | potential energy 
35 | gated Channel | peptide linkage | water | hydrogen-bond 
36 | oxidoreductase | covalent bond | aspartic acid | single bond 
36 | oxidoreductase | covalent bond | aspartic acid | kinetic energy 
37 | lactic acid | kinetic energy | ATP synthase | kinetic energy 
37 | lactic acid | kinetic energy | ATP synthase | peptide linkage 
38 | carbohydrate | kinetic energy | glucose-6-phosphate | double bond 
38 | carbohydrate | kinetic energy | glucose-6-phosphate | single bond 
38 | carbohydrate | kinetic energy | glucose-6-phosphate | polar covalent bond 
38 | carbohydrate | kinetic energy | glucose-6-phosphate | kinetic energy 
39 | carbohydrate | double bond | glucose-6-phosphate | double bond 
39 | carbohydrate | double bond | glucose-6-phosphate | single bond 
39 | carbohydrate | double bond | glucose-6-phosphate | polar covalent bond 
39 | carbohydrate | double bond | glucose-6-phosphate | kinetic energy 
40 | carbohydrate | polar covalent bond | glucose-6-phosphate | double bond 
40 | carbohydrate | polar covalent bond | glucose-6-phosphate | single bond 
40 | carbohydrate | polar covalent bond | glucose-6-phosphate | polar covalent bond 
40 | carbohydrate | polar covalent bond | glucose-6-phosphate | kinetic energy 
41 | phospholipid | kinetic energy | chlorophyll A | kinetic energy 
41 | phospholipid | kinetic energy | chlorophyll A | single bond 
42 | phospholipid | ester linkage | chlorophyll A | kinetic energy 
42 | phospholipid | ester linkage | chlorophyll A | single bond 
43 | protein | peptide linkage | ice | hydrogen-bond 
44 | ionic compound | ionic attraction | phospholipid | kinetic energy 
44 | ionic compound | ionic attraction | phospholipid | ester linkage 
45 | polymer | covalent bond | integrin | kinetic energy 
46 | ADP | single bond | hexose | polar covalent bond 
46 | ADP | single bond | hexose | double bond 
47 | ADP | kinetic energy | hexose | polar covalent bond 
47 | ADP | kinetic energy | hexose | double bond 
48 | ADP | double bond | hexose | polar covalent bond 
48 | ADP | double bond | hexose | double bond 
49 | aquaporin | kinetic energy | DNA | phosphodiester bond 
50 | polymer | covalent bond | glycogen | polar covalent bond 
50 | polymer | covalent bond | glycogen | kinetic energy 
51 | alanine | kinetic energy | pentose | double bond 
51 | alanine | kinetic energy | pentose | polar covalent bond 
52 | alanine | nonpolar covalent bond | pentose | double bond 
52 | alanine | nonpolar covalent bond | pentose | polar covalent bond 
53 | saturated fatty acid | kinetic energy | DNA | phosphodiester bond 
54 | saturated fatty acid | single bond | DNA | phosphodiester bond 
55 | monosaccharide | double bond | proton pump | single bond 
55 | monosaccharide | double bond | proton pump | double bond 
55 | monosaccharide | double bond | proton pump | kinetic energy 
55 | monosaccharide | double bond | proton pump | peptide linkage 
56 | monosaccharide | polar covalent bond | proton pump | single bond 
56 | monosaccharide | polar covalent bond | proton pump | double bond 
56 | monosaccharide | polar covalent bond | proton pump | kinetic energy 
56 | monosaccharide | polar covalent bond | proton pump | peptide linkage 
57 | RNA | phosphodiester bond | proline | single bond 
58 | P680 | kinetic energy | lactic acid | kinetic energy 
59 | P680 | single bond | lactic acid | kinetic energy 
60 | oxygen molecule | nonpolar covalent bond | motor protein | kinetic energy 
61 | oxygen molecule | double bond | motor protein | kinetic energy 
62 | acetyl CoA | double bond | acetyl CoA | double bond 
62 | acetyl CoA | double bond | acetyl CoA | ester linkage 
62 | acetyl CoA | double bond | acetyl CoA | kinetic energy 
63 | acetyl CoA | ester linkage | acetyl CoA | double bond 
63 | acetyl CoA | ester linkage | acetyl CoA | ester linkage 
63 | acetyl CoA | ester linkage | acetyl CoA | kinetic energy 
64 | acetyl CoA | kinetic energy | acetyl CoA | double bond 
64 | acetyl CoA | kinetic energy | acetyl CoA | ester linkage 
64 | acetyl CoA | kinetic energy | acetyl CoA | kinetic energy 
65 | aquaporin | kinetic energy | carbohydrate side chain | polar covalent bond 
65 | aquaporin | kinetic energy | carbohydrate side chain | double bond 
65 | aquaporin | kinetic energy | carbohydrate side chain | kinetic energy 
66 | fatty acid | kinetic energy | amylopectin | double bond 
71 | amphipathic molecule | kinetic energy | amphipathic molecule | kinetic energy 
72 | acidic amino acid | single bond | sucrose | kinetic energy 
72 | acidic amino acid | single bond | sucrose | polar covalent bond 
