3 | extra cellular matrix | motor protein | nuclear-envelope | carbon skeleton 
4 | extra cellular matrix | aqueous solution | nuclear-envelope | carbon skeleton 
7 | nuclear-envelope | carbon skeleton | membrane | carbon skeleton 
9 | carbonyl group | oxygen atom | capsule | cell wall 
10 | hydration shell | water molecule | membrane | carbon skeleton 
11 | hydration shell | water molecule | membrane | carbon skeleton 
12 | capsule | cell wall | capsule | cell wall 
14 | amino group | nitrogen atom | thylakoid space | aqueous solution 
14 | amino group | nitrogen atom | thylakoid space | aqueous solution 
15 | amino group | hydrogen atom | thylakoid space | aqueous solution 
15 | amino group | hydrogen atom | thylakoid space | aqueous solution 
20 | hydration shell | water molecule | nuclear-envelope | carbon skeleton 
21 | hydration shell | water molecule | nuclear-envelope | carbon skeleton 
24 | carboxyl group | hydrogen atom | membrane | carbon skeleton 
25 | carboxyl group | oxygen atom | membrane | carbon skeleton 
26 | carboxyl group | oxygen atom | membrane | carbon skeleton 
27 | hydration shell | water molecule | capsule | cell wall 
28 | hydration shell | water molecule | capsule | cell wall 
34 | glyoxysome | protein enzyme | chloroplast | stroma 
35 | glyoxysome | protein enzyme | chloroplast | stroma 
36 | carboxyl group | hydrogen atom | amyloplast | starch 
37 | carboxyl group | oxygen atom | amyloplast | starch 
38 | carboxyl group | oxygen atom | amyloplast | starch 
41 | hydroxyl group | hydrogen atom | first electron-shell | atomic nucleus 
42 | hydroxyl group | oxygen atom | first electron-shell | atomic nucleus 
43 | hydration shell | water molecule | cisternal space | aqueous solution 
44 | hydration shell | water molecule | cisternal space | aqueous solution 
52 | stroma | ribosome | cisternal space | aqueous solution 
53 | stroma | protein enzyme | cisternal space | aqueous solution 
54 | stroma | protein enzyme | cisternal space | aqueous solution 
55 | stroma | MRNA | cisternal space | aqueous solution 
56 | tertiary protein structure | hydrogen-bond | chloroplast | stroma 
57 | tertiary protein structure | van der waals interaction | chloroplast | stroma 
58 | tertiary protein structure | hydrophobic interaction | chloroplast | stroma 
59 | tertiary protein structure | secondary structure | chloroplast | stroma 
60 | carbonyl group | oxygen atom | tertiary protein structure | hydrogen-bond 
60 | carbonyl group | oxygen atom | tertiary protein structure | van der waals interaction 
60 | carbonyl group | oxygen atom | tertiary protein structure | hydrophobic interaction 
60 | carbonyl group | oxygen atom | tertiary protein structure | secondary structure 
61 | amino group | nitrogen atom | cisternal space | aqueous solution 
62 | amino group | hydrogen atom | cisternal space | aqueous solution 
65 | hydroxyl group | hydrogen atom | cisternal space | aqueous solution 
66 | hydroxyl group | oxygen atom | cisternal space | aqueous solution 
76 | atomic nucleus | proton | nuclear-envelope | carbon skeleton 
78 | methyl group | hydrogen atom | first electron-shell | atomic nucleus 
82 | ER membrane | carbon skeleton | cisternal space | aqueous solution 
83 | ER membrane | cisternal space | cisternal space | aqueous solution 
86 | orbital | electron | thylakoid space | aqueous solution 
86 | orbital | electron | thylakoid space | aqueous solution 
87 | chloroplast | stroma | secondary structure | primary structure 
87 | chloroplast | stroma | secondary structure | hydrogen-bond 
90 | mitochondrial membrane | carbon skeleton | amyloplast | starch 
93 | extra cellular matrix | motor protein | first electron-shell | atomic nucleus 
94 | extra cellular matrix | aqueous solution | first electron-shell | atomic nucleus 
95 | secondary structure | primary structure | second electron-shell | first electron-shell 
96 | secondary structure | hydrogen-bond | second electron-shell | first electron-shell 
97 | hydroxyl group | hydrogen atom | capsule | cell wall 
98 | hydroxyl group | oxygen atom | capsule | cell wall 
100 | first electron-shell | atomic nucleus | cisternal space | aqueous solution 
106 | hydroxyl group | hydrogen atom | tertiary protein structure | hydrogen-bond 
106 | hydroxyl group | hydrogen atom | tertiary protein structure | van der waals interaction 
106 | hydroxyl group | hydrogen atom | tertiary protein structure | hydrophobic interaction 
106 | hydroxyl group | hydrogen atom | tertiary protein structure | secondary structure 
107 | hydroxyl group | oxygen atom | tertiary protein structure | hydrogen-bond 
107 | hydroxyl group | oxygen atom | tertiary protein structure | van der waals interaction 
107 | hydroxyl group | oxygen atom | tertiary protein structure | hydrophobic interaction 
107 | hydroxyl group | oxygen atom | tertiary protein structure | secondary structure 
114 | first electron-shell | atomic nucleus | second electron-shell | first electron-shell 
116 | hydration shell | water molecule | capsule | cell wall 
117 | hydration shell | water molecule | capsule | cell wall 
118 | amyloplast | starch | nuclear-envelope | carbon skeleton 
120 | nucleus | nucleolus | thylakoid space | aqueous solution 
120 | nucleus | nucleolus | thylakoid space | aqueous solution 
126 | cisternal space | aqueous solution | second electron-shell | first electron-shell 
127 | extra cellular matrix | motor protein | secondary structure | primary structure 
127 | extra cellular matrix | motor protein | secondary structure | hydrogen-bond 
128 | extra cellular matrix | aqueous solution | secondary structure | primary structure 
128 | extra cellular matrix | aqueous solution | secondary structure | hydrogen-bond 
132 | membrane | carbon skeleton | cisternal space | aqueous solution 
142 | phosphate group | oxygen atom | thylakoid space | aqueous solution 
142 | phosphate group | oxygen atom | thylakoid space | aqueous solution 
143 | phosphate group | phosphorus atom | thylakoid space | aqueous solution 
143 | phosphate group | phosphorus atom | thylakoid space | aqueous solution 
144 | phosphate group | oxygen atom | thylakoid space | aqueous solution 
144 | phosphate group | oxygen atom | thylakoid space | aqueous solution 
145 | extra cellular matrix | motor protein | secondary structure | primary structure 
145 | extra cellular matrix | motor protein | secondary structure | hydrogen-bond 
146 | extra cellular matrix | aqueous solution | secondary structure | primary structure 
146 | extra cellular matrix | aqueous solution | secondary structure | hydrogen-bond 
149 | phosphate group | oxygen atom | amyloplast | starch 
150 | phosphate group | phosphorus atom | amyloplast | starch 
151 | phosphate group | oxygen atom | amyloplast | starch 
154 | amyloplast | starch | secondary structure | primary structure 
154 | amyloplast | starch | secondary structure | hydrogen-bond 
166 | sulfhydryl group | sulfur atom | tertiary protein structure | hydrogen-bond 
