0 | organ | tissue | bone | connective tissue 
16 | bird | stomach | bone | connective tissue 
17 | bird | lung | bone | connective tissue 
18 | bird | pancreas | bone | connective tissue 
19 | organ | tissue | organ | tissue 
21 | bird | stomach | heart | tissue 
22 | bird | lung | heart | tissue 
23 | bird | pancreas | heart | tissue 
25 | pancreas | tissue | tendon | connective tissue 
26 | bone | connective tissue | organ | tissue 
31 | blood | leukocyte | bone | connective tissue 
32 | blood | erythrocyte | bone | connective tissue 
33 | stomach | epithelium | pancreas | tissue 
34 | stomach | tissue | pancreas | tissue 
35 | organ | tissue | salivary gland | duct 
37 | organ | tissue | bone | connective tissue 
38 | pancreas | tissue | ligament | connective tissue 
39 | bird | stomach | ligament | connective tissue 
40 | bird | lung | ligament | connective tissue 
41 | bird | pancreas | ligament | connective tissue 
42 | blood | leukocyte | pancreas | tissue 
43 | blood | erythrocyte | pancreas | tissue 
44 | blood | leukocyte | organ | tissue 
45 | blood | erythrocyte | organ | tissue 
46 | skin | connective tissue | salivary gland | duct 
47 | blood | leukocyte | bone | connective tissue 
48 | blood | erythrocyte | bone | connective tissue 
50 | ligament | connective tissue | tendon | connective tissue 
51 | bone | connective tissue | organ | tissue 
54 | stomach | epithelium | organ | tissue 
55 | stomach | tissue | organ | tissue 
60 | pancreas | tissue | ligament | connective tissue 
61 | ligament | connective tissue | tendon | connective tissue 
62 | heart | tissue | ligament | connective tissue 
65 | pancreas | tissue | organ | tissue 
66 | mammal | stomach | tendon | connective tissue 
67 | mammal | pancreas | tendon | connective tissue 
68 | mammal | epithelium | tendon | connective tissue 
69 | mammal | bone | tendon | connective tissue 
70 | mammal | heart | tendon | connective tissue 
71 | mammal | lung | tendon | connective tissue 
72 | tendon | connective tissue | ligament | connective tissue 
73 | salivary gland | duct | organ | tissue 
75 | pancreas | tissue | bone | connective tissue 
76 | skin | connective tissue | tendon | connective tissue 
77 | ligament | connective tissue | heart | tissue 
78 | skin | connective tissue | pancreas | tissue 
79 | salivary gland | duct | salivary gland | duct 
80 | salivary gland | duct | organ | tissue 
85 | organ | tissue | heart | tissue 
86 | ligament | connective tissue | tendon | connective tissue 
87 | bone | connective tissue | pancreas | tissue 
88 | skin | connective tissue | tendon | connective tissue 
89 | skin | connective tissue | salivary gland | duct 
