0 | mouse | mammal | aquatic organism | organism 
1 | erythrocyte | blood cell | stratified squamous epithelium | epithelium 
2 | blood | tissue | stratified squamous epithelium | epithelium 
2 | blood | tissue | stratified squamous epithelium | tissue 
3 | blood | connective tissue | stratified squamous epithelium | epithelium 
4 | cartilage | tissue | cartilage | connective tissue 
4 | cartilage | tissue | cartilage | tissue 
5 | cartilage | connective tissue | cartilage | connective tissue 
6 | epithelium | tissue | Evaporative cooling of water | Evaporative cooling 
7 | epidermis | tissue | cuboidal epithelium | epithelium 
7 | epidermis | tissue | cuboidal epithelium | tissue 
8 | Muscle contraction | Mechanical work | stratified squamous epithelium | epithelium 
9 | Evaporative cooling of water | Evaporative cooling | stomach | digestive organ 
10 | Metabolism | Biological process | brown fat | adipose tissue 
11 | mammalian digestive system | digestive system | epithelium | tissue 
12 | mouse | mammal | mouse | mammal 
13 | central nervous-system | organ system | adipose tissue | connective tissue 
13 | central nervous-system | organ system | adipose tissue | tissue 
14 | Protein denaturation by heat | Protein denaturation | stratified squamous epithelium | epithelium 
15 | digestive system | organ system | bone | connective tissue 
15 | digestive system | organ system | bone | tissue 
16 | Thermoregulation | Regulation | Disease process | Biological process 
17 | central nervous-system | organ system | cuboidal epithelium | epithelium 
17 | central nervous-system | organ system | cuboidal epithelium | tissue 
18 | stomach | digestive organ | Shivering | Biological process 
19 | blood | connective tissue | salivary gland | gland 
20 | Shivering | Biological process | Protein denaturation by heat | Protein denaturation 
21 | Evaporative cooling of water | Evaporative cooling | brown fat | adipose tissue 
22 | erythrocyte | blood cell | Evaporative cooling of water | Evaporative cooling 
23 | blood vessel | organ | brown fat | adipose tissue 
23 | blood vessel | organ | brown fat | connective tissue 
23 | blood vessel | organ | brown fat | tissue 
24 | Thermoregulation | Regulation | connective tissue | tissue 
25 | heart | organ | brown fat | adipose tissue 
25 | heart | organ | brown fat | connective tissue 
25 | heart | organ | brown fat | tissue 
26 | bone | tissue | adipose tissue | connective tissue 
26 | bone | tissue | adipose tissue | tissue 
27 | bone | connective tissue | adipose tissue | connective tissue 
28 | Muscle contraction | Mechanical work | stratified squamous epithelium | epithelium 
29 | connective tissue | tissue | Metabolism | Biological process 
30 | adipose tissue | tissue | brown fat | adipose tissue 
30 | adipose tissue | tissue | brown fat | connective tissue 
31 | adipose tissue | connective tissue | brown fat | adipose tissue 
32 | cartilage | tissue | cartilage | connective tissue 
32 | cartilage | tissue | cartilage | tissue 
33 | cartilage | connective tissue | cartilage | connective tissue 
34 | Thermoregulation | Regulation | stratified squamous epithelium | epithelium 
35 | Metabolism | Biological process | Disease process | Biological process 
36 | Shivering | Biological process | Protein denaturation by heat | Protein denaturation 
37 | Muscle contraction | Mechanical work | adipose tissue | connective tissue 
38 | Evaporative cooling of water | Evaporative cooling | connective tissue | tissue 
39 | nervous tissue | tissue | nervous tissue | tissue 
40 | mouse | mammal | Shivering | Biological process 
41 | nervous tissue | tissue | connective tissue | tissue 
42 | animal | organism | adipose tissue | connective tissue 
42 | animal | organism | adipose tissue | tissue 
43 | erythrocyte | blood cell | mouse | mammal 
44 | erythrocyte | blood cell | mammalian digestive system | digestive system 
45 | brown fat | connective tissue | stratified squamous epithelium | epithelium 
45 | brown fat | connective tissue | stratified squamous epithelium | tissue 
46 | brown fat | adipose tissue | stratified squamous epithelium | epithelium 
47 | Metabolism | Biological process | connective tissue | tissue 
48 | Thermoregulation | Regulation | adipose tissue | connective tissue 
49 | nervous tissue | tissue | aquatic organism | organism 
50 | small intestine | digestive organ | stomach | digestive organ 
51 | Muscle contraction | Mechanical work | nervous tissue | tissue 
52 | stratified squamous epithelium | epithelium | mouse | mammal 
53 | Metabolism | Biological process | Disease process | Biological process 
54 | connective tissue | tissue | mouse | mammal 
55 | epithelium | tissue | cartilage | connective tissue 
56 | cartilage | connective tissue | mammalian digestive system | digestive system 
57 | Evaporative cooling of water | Evaporative cooling | Shivering | Biological process 
58 | erythrocyte | blood cell | mammalian digestive system | digestive system 
59 | brown fat | adipose tissue | Protein denaturation by heat | Protein denaturation 
60 | brown fat | adipose tissue | stomach | digestive organ 
61 | stomach | digestive organ | bone | connective tissue 
62 | salivary gland | gland | cartilage | connective tissue 
63 | mammalian digestive system | digestive system | cuboidal epithelium | epithelium 
64 | salivary gland | gland | salivary gland | gland 
65 | erythrocyte | blood cell | cuboidal epithelium | epithelium 
66 | ligament | connective tissue | cuboidal epithelium | epithelium 
66 | ligament | connective tissue | cuboidal epithelium | tissue 
67 | connective tissue | tissue | aquatic organism | organism 
68 | Shivering | Biological process | epithelium | tissue 
69 | muscle | tissue | cartilage | connective tissue 
69 | muscle | tissue | cartilage | tissue 
70 | brown fat | connective tissue | cartilage | connective tissue 
70 | brown fat | connective tissue | cartilage | tissue 
71 | brown fat | adipose tissue | cartilage | connective tissue 
72 | connective tissue | tissue | brown fat | adipose tissue 
73 | aquatic organism | organism | Protein denaturation by heat | Protein denaturation 
74 | Evaporative cooling of water | Evaporative cooling | salivary gland | gland 
75 | erythrocyte | blood cell | small intestine | digestive organ 
76 | stratified squamous epithelium | epithelium | Metabolism | Biological process 
77 | salivary gland | gland | Metabolism | Biological process 
78 | cuboidal epithelium | epithelium | connective tissue | tissue 
79 | stomach | digestive organ | nervous tissue | tissue 
80 | connective tissue | tissue | bone | connective tissue 
81 | stratified squamous epithelium | epithelium | Protein denaturation by heat | Protein denaturation 
82 | Evaporative cooling of water | Evaporative cooling | nervous tissue | tissue 
83 | stratified squamous epithelium | epithelium | mouse | mammal 
84 | blood | connective tissue | Disease process | Biological process 
85 | Muscle contraction | Mechanical work | mouse | mammal 
86 | stratified squamous epithelium | tissue | brown fat | adipose tissue 
86 | stratified squamous epithelium | tissue | brown fat | connective tissue 
87 | stratified squamous epithelium | epithelium | brown fat | adipose tissue 
88 | bone | connective tissue | epithelium | tissue 
89 | Muscle contraction | Mechanical work | Disease process | Biological process 
90 | Evaporative cooling of water | Evaporative cooling | epithelium | tissue 
91 | Shivering | Biological process | Shivering | Biological process 
92 | nervous tissue | tissue | mammalian digestive system | digestive system 
93 | salivary gland | gland | aquatic organism | organism 
94 | aquatic organism | organism | brown fat | adipose tissue 
95 | mammalian digestive system | digestive system | cartilage | connective tissue 
96 | adipose tissue | connective tissue | invertebrate | animal 
97 | stomach | digestive organ | Metabolism | Biological process 
98 | central nervous-system | organ system | bone | connective tissue 
98 | central nervous-system | organ system | bone | tissue 
99 | cartilage | connective tissue | mouse | mammal 
100 | aquatic organism | organism | nervous tissue | tissue 
101 | connective tissue | tissue | Evaporative cooling of water | Evaporative cooling 
102 | salivary gland | gland | mammalian digestive system | digestive system 
103 | muscle | tissue | stratified squamous epithelium | epithelium 
103 | muscle | tissue | stratified squamous epithelium | tissue 
104 | aquatic organism | organism | Shivering | Biological process 
105 | epithelium | tissue | Disease process | Biological process 
106 | Thermoregulation | Regulation | Disease process | Biological process 
107 | salivary gland | gland | Disease process | Biological process 
108 | erythrocyte | blood cell | cuboidal epithelium | epithelium 
