0 | Reversible reaction | Chemical reaction | proton-motive force | potential energy 
1 | chitin | polymer | serine | polar amino acid 
1 | chitin | polymer | serine | hydrophilic amino acid 
1 | chitin | polymer | serine | amino acid 
2 | chitin | carbohydrate | serine | polar amino acid 
2 | chitin | carbohydrate | serine | hydrophilic amino acid 
2 | chitin | carbohydrate | serine | amino acid 
3 | chitin | polysaccharide | serine | polar amino acid 
3 | chitin | polysaccharide | serine | hydrophilic amino acid 
4 | chitin | structural polysaccharide | serine | polar amino acid 
5 | ribulose bisphosphate | pentose | organic molecule | molecule 
6 | amylopectin | starch | Synthesis of glucose from pyruvate | Gluconeogenesis 
7 | animal | organism | Photosynthesis | Anabolic pathway 
7 | animal | organism | Photosynthesis | Endergonic reaction 
7 | animal | organism | Photosynthesis | Metabolic pathway 
8 | animal | multicellular organism | Photosynthesis | Anabolic pathway 
9 | animal | eukaryote | Photosynthesis | Anabolic pathway 
10 | transport vesicle | cellular structure | chromoplast | plastid 
10 | transport vesicle | cellular structure | chromoplast | organelle 
11 | transport vesicle | vesicle | chromoplast | plastid 
12 | monomer | molecule | eukaryotic cilium | cilium 
13 | peroxisome | cellular structure | cellulose | polar molecule 
13 | peroxisome | cellular structure | cellulose | structural polysaccharide 
13 | peroxisome | cellular structure | cellulose | molecule 
13 | peroxisome | cellular structure | cellulose | hydrophilic compound 
13 | peroxisome | cellular structure | cellulose | polysaccharide 
14 | peroxisome | organelle | cellulose | polar molecule 
14 | peroxisome | organelle | cellulose | structural polysaccharide 
15 | bound ribosome | ribosome | adenine | purine 
15 | bound ribosome | ribosome | adenine | nitrogenous base 
16 | amphipathic molecule | molecule | multiprotein complex-I | protein complex 
17 | disaccharide | sugar | Signal transduction with second messenger | Signal transduction 
18 | sodium chloride | ionic compound | Signal transduction with Ca2 plus | Signal transduction with second messenger 
18 | sodium chloride | ionic compound | Signal transduction with Ca2 plus | Signal transduction 
19 | sodium chloride | salt | Signal transduction with Ca2 plus | Signal transduction with second messenger 
20 | proteoglycan | amphipathic molecule | first law of thermodynamics | law of thermodynamics 
20 | proteoglycan | amphipathic molecule | first law of thermodynamics | scientific law 
21 | proteoglycan | protein | first law of thermodynamics | law of thermodynamics 
21 | proteoglycan | protein | first law of thermodynamics | scientific law 
22 | proteoglycan | glycoprotein | first law of thermodynamics | law of thermodynamics 
23 | magnesium atom | atom | Alcohol fermentation | Fermentation 
23 | magnesium atom | atom | Alcohol fermentation | Anaerobic metabolism 
23 | magnesium atom | atom | Alcohol fermentation | Catabolic pathway 
24 | threonine | hydrophilic amino acid | centrosome | microtubule organizing center 
24 | threonine | hydrophilic amino acid | centrosome | cellular structure 
25 | threonine | polar amino acid | centrosome | microtubule organizing center 
26 | mitochondrial electron transport chain | electron transport chain | secondary lysosome | lysosome 
27 | starch | polysaccharide | C3 plant | plant 
27 | starch | polysaccharide | C3 plant | eukaryote 
27 | starch | polysaccharide | C3 plant | organism 
28 | starch | storage polysaccharide | C3 plant | plant 
28 | starch | storage polysaccharide | C3 plant | eukaryote 
29 | intracellular receptor | receptor protein | Redox reaction | Chemical reaction 
30 | Dehydration reaction | Endergonic reaction | adenine | purine 
30 | Dehydration reaction | Endergonic reaction | adenine | nitrogenous base 
31 | Dehydration reaction | Condensation reaction | adenine | purine 
32 | fatty acid | compound | ketone | organic molecule 
32 | fatty acid | compound | ketone | molecule 
33 | fatty acid | carboxylic acid | ketone | organic molecule 
34 | fatty acid | hydrophobic compound | ketone | organic molecule 
35 | algal cell | walled cell | adenine | purine 
36 | algal cell | eukaryotic cell | adenine | purine 
37 | carboxylic acid | molecule | chitin | structural polysaccharide 
37 | carboxylic acid | molecule | chitin | polysaccharide 
37 | carboxylic acid | molecule | chitin | carbohydrate 
37 | carboxylic acid | molecule | chitin | polymer 
38 | carboxylic acid | compound | chitin | structural polysaccharide 
38 | carboxylic acid | compound | chitin | polysaccharide 
38 | carboxylic acid | compound | chitin | carbohydrate 
38 | carboxylic acid | compound | chitin | polymer 
39 | carboxylic acid | organic molecule | chitin | structural polysaccharide 
39 | carboxylic acid | organic molecule | chitin | polysaccharide 
40 | Protein denaturation by denaturation agent | Protein denaturation | noncompetitive inhibitor | enzyme inhibitor 
41 | valence shell | electron-shell | nucleic acid | organic molecule 
41 | valence shell | electron-shell | nucleic acid | polymer 
42 | motor protein | protein | lactic acid | carboxylic acid 
43 | antiporter | transmembrane protein | cytochrome | protein 
43 | antiporter | transmembrane protein | cytochrome | organic molecule 
43 | antiporter | transmembrane protein | cytochrome | polymer 
44 | antiporter | transport membrane protein | cytochrome | protein 
45 | hydrophilic amino acid | amino acid | nonpolar substance | hydrophobic substance 
46 | margarine | fat molecule | salt | ionic compound 
47 | transferase | protein | storage polysaccharide | polysaccharide 
47 | transferase | protein | storage polysaccharide | carbohydrate 
47 | transferase | protein | storage polysaccharide | polymer 
48 | transferase | enzyme | storage polysaccharide | polysaccharide 
48 | transferase | enzyme | storage polysaccharide | carbohydrate 
48 | transferase | enzyme | storage polysaccharide | polymer 
49 | transferase | protein enzyme | storage polysaccharide | polysaccharide 
50 | weak acid | acid | methyl group | functional group 
51 | centrosome | microtubule organizing center | hypotonic solution | aqueous solution 
52 | beta glucose | isomer | Cell communication with epinephrine in muscle cell | Cell communication with epinephrine 
52 | beta glucose | isomer | Cell communication with epinephrine in muscle cell | Cell communication with endocrine hormone 
53 | beta glucose | hexose | Cell communication with epinephrine in muscle cell | Cell communication with epinephrine 
53 | beta glucose | hexose | Cell communication with epinephrine in muscle cell | Cell communication with endocrine hormone 
54 | enthalpy | energy | acetaldehyde | aldehyde 
55 | intercellular junction | cellular structure | Facilitated diffusion | Passive transport 
55 | intercellular junction | cellular structure | Facilitated diffusion | Diffusion 
56 | Protein denaturation by heat | Protein denaturation | Substrate level phosphorylation | Synthesis of ATP 
57 | nucleus | organelle | cilium | cellular structure 
58 | Phagocytosis | Endocytosis | Electron microscopy | Microscopy 
59 | prokaryote | organism | radioactive isotope | isotope 
59 | prokaryote | organism | radioactive isotope | atom 
60 | Signal transduction with IP3 | Signal transduction | coenzyme A | organic molecule 
61 | crista | cellular structure | electromagnetic energy | radiation 
62 | chloroplast | plastid | tight junction | intercellular junction 
63 | Inhibition | Regulation | single bond | covalent bond 
64 | water soluble protein | molecule | secondary lysosome | lysosome 
64 | water soluble protein | molecule | secondary lysosome | organelle 
64 | water soluble protein | molecule | secondary lysosome | cellular structure 
65 | water soluble protein | polymer | secondary lysosome | lysosome 
65 | water soluble protein | polymer | secondary lysosome | organelle 
66 | water soluble protein | organic molecule | secondary lysosome | lysosome 
66 | water soluble protein | organic molecule | secondary lysosome | organelle 
67 | water soluble protein | protein | secondary lysosome | lysosome 
68 | sucrose | disaccharide | helium atom | inert atom 
69 | microtubule organizing center | cellular structure | oligosaccharide | carbohydrate 
70 | rubisco | protein | cytochrome A3 | cytochrome 
70 | rubisco | protein | cytochrome A3 | protein 
70 | rubisco | protein | cytochrome A3 | organic molecule 
70 | rubisco | protein | cytochrome A3 | polymer 
71 | rubisco | enzyme | cytochrome A3 | cytochrome 
71 | rubisco | enzyme | cytochrome A3 | protein 
71 | rubisco | enzyme | cytochrome A3 | organic molecule 
71 | rubisco | enzyme | cytochrome A3 | polymer 
72 | rubisco | protein enzyme | cytochrome A3 | cytochrome 
72 | rubisco | protein enzyme | cytochrome A3 | protein 
73 | rubisco | lyase | cytochrome A3 | cytochrome 
74 | hydrogen ion | ion | proline | hydrophobic amino acid 
74 | hydrogen ion | ion | proline | amino acid 
75 | hydrogen ion | cation | proline | hydrophobic amino acid 
76 | multiprotein complex IV | protein complex | cisterna | cellular structure 
77 | phosphate group | functional group | gap junction | intercellular junction 
78 | Carbon fixation | Chemical reaction | aquaporin | channel protein 
78 | Carbon fixation | Chemical reaction | aquaporin | transport membrane protein 
78 | Carbon fixation | Chemical reaction | aquaporin | transmembrane protein 
79 | Polymer synthesis | Metabolic pathway | guanine | purine 
79 | Polymer synthesis | Metabolic pathway | guanine | nitrogenous base 
80 | Polymer synthesis | Endergonic reaction | guanine | purine 
80 | Polymer synthesis | Endergonic reaction | guanine | nitrogenous base 
81 | Polymer synthesis | Chemical reaction | guanine | purine 
81 | Polymer synthesis | Chemical reaction | guanine | nitrogenous base 
82 | Polymer synthesis | Anabolic pathway | guanine | purine 
83 | capsule | cellular structure | glycolipid | lipid 
83 | capsule | cellular structure | glycolipid | amphipathic molecule 
84 | connexon | channel protein | isomer | molecule 
85 | plant cell | eukaryotic cell | nicotinamide | nitrogenous base 
86 | plant cell | walled cell | nicotinamide | nitrogenous base 
87 | flagellum | cellular structure | coenzyme | cofactor 
88 | green light | light | Cell signaling with receptor tyrosine kinase | Cell signaling with plasma membrane receptor 
89 | capsule | cellular structure | electromagnetic spectrum | spectrum 
90 | carotenoid | accessory pigment | plasmodesmata | intercellular junction 
91 | Anabolic pathway | Metabolic pathway | Anaerobic metabolism | Metabolism 
92 | Anabolic pathway | Endergonic reaction | Anaerobic metabolism | Metabolism 
93 | endoplasmic reticulum | organelle | Pinocytosis | Endocytosis 
94 | isotope | atom | Lactic acid fermentation in muscle cell | Lactic acid fermentation 
95 | alcohol | organic molecule | potential energy | energy 
96 | ribosome | cellular structure | pentose | monosaccharide 
97 | globular protein | protein | peroxisome | organelle 
97 | globular protein | protein | peroxisome | cellular structure 
98 | globular protein | water soluble protein | peroxisome | organelle 
99 | P680 | photosynthetic pigment | unsaturated fat | fat molecule 
99 | P680 | photosynthetic pigment | unsaturated fat | triglyceride 
99 | P680 | photosynthetic pigment | unsaturated fat | lipid 
100 | P680 | chlorophyll | unsaturated fat | fat molecule 
100 | P680 | chlorophyll | unsaturated fat | triglyceride 
101 | P680 | chlorophyll A | unsaturated fat | fat molecule 
102 | Cyclic electron flow | Exergonic reaction | Cell communication with epinephrine in muscle cell | Cell communication with epinephrine 
102 | Cyclic electron flow | Exergonic reaction | Cell communication with epinephrine in muscle cell | Cell communication with endocrine hormone 
103 | transport membrane protein | amphipathic molecule | chitin | structural polysaccharide 
103 | transport membrane protein | amphipathic molecule | chitin | polysaccharide 
103 | transport membrane protein | amphipathic molecule | chitin | carbohydrate 
103 | transport membrane protein | amphipathic molecule | chitin | polymer 
104 | transport membrane protein | integral protein | chitin | structural polysaccharide 
104 | transport membrane protein | integral protein | chitin | polysaccharide 
105 | transport membrane protein | transmembrane protein | chitin | structural polysaccharide 
106 | lactic acid | carboxylic acid | organelle | cellular structure 
107 | multiprotein complex-I | protein complex | Anabolic pathway | Endergonic reaction 
107 | multiprotein complex-I | protein complex | Anabolic pathway | Metabolic pathway 
108 | Osmosis | Diffusion | Facilitated diffusion | Passive transport 
108 | Osmosis | Diffusion | Facilitated diffusion | Diffusion 
108 | Osmosis | Diffusion | Facilitated diffusion | Spontaneous change 
109 | Osmosis | Passive transport | Facilitated diffusion | Passive transport 
109 | Osmosis | Passive transport | Facilitated diffusion | Diffusion 
110 | acetaldehyde | molecule | channel protein | transport membrane protein 
110 | acetaldehyde | molecule | channel protein | transmembrane protein 
110 | acetaldehyde | molecule | channel protein | integral protein 
111 | acetaldehyde | organic molecule | channel protein | transport membrane protein 
111 | acetaldehyde | organic molecule | channel protein | transmembrane protein 
112 | acetaldehyde | aldehyde | channel protein | transport membrane protein 
113 | centrosome | cellular structure | protein enzyme | enzyme 
113 | centrosome | cellular structure | protein enzyme | protein 
113 | centrosome | cellular structure | protein enzyme | organic molecule 
113 | centrosome | cellular structure | protein enzyme | polymer 
114 | centrosome | microtubule organizing center | protein enzyme | enzyme 
114 | centrosome | microtubule organizing center | protein enzyme | protein 
115 | potential energy | energy | disaccharide | sugar 
116 | double bond | covalent bond | law of mass action | scientific law 
117 | Dephosphorylation of ATP | Exergonic reaction | first law of thermodynamics | law of thermodynamics 
117 | Dephosphorylation of ATP | Exergonic reaction | first law of thermodynamics | scientific law 
118 | Dephosphorylation of ATP | Hydrolysis | first law of thermodynamics | law of thermodynamics 
119 | organelle | cellular structure | sunlight | light 
120 | eukaryotic flagellum | flagellum | sulfhydryl group | functional group 
121 | oil | lipid | oil | fat molecule 
121 | oil | lipid | oil | triglyceride 
121 | oil | lipid | oil | lipid 
122 | oil | triglyceride | oil | fat molecule 
122 | oil | triglyceride | oil | triglyceride 
123 | oil | fat molecule | oil | fat molecule 
124 | Cell signaling with cAMP and G-protein coupled receptor | Cell signaling with G-protein coupled receptor | law of mass action | scientific law 
125 | vitamin | organic molecule | algal cell | eukaryotic cell 
125 | vitamin | organic molecule | algal cell | walled cell 
126 | carbon-12 atom | atom | rough endoplasmic reticulum | endoplasmic reticulum 
126 | carbon-12 atom | atom | rough endoplasmic reticulum | organelle 
126 | carbon-12 atom | atom | rough endoplasmic reticulum | cellular structure 
127 | carbon-12 atom | isotope | rough endoplasmic reticulum | endoplasmic reticulum 
127 | carbon-12 atom | isotope | rough endoplasmic reticulum | organelle 
128 | plastoquinone | molecule | denatured protein | protein 
128 | plastoquinone | molecule | denatured protein | organic molecule 
128 | plastoquinone | molecule | denatured protein | polymer 
129 | plastoquinone | organic molecule | denatured protein | protein 
130 | algae | organism | disaccharide | sugar 
130 | algae | organism | disaccharide | carbohydrate 
130 | algae | organism | disaccharide | organic molecule 
131 | algae | eukaryote | disaccharide | sugar 
131 | algae | eukaryote | disaccharide | carbohydrate 
132 | sugar | organic molecule | methionine | hydrophobic amino acid 
132 | sugar | organic molecule | methionine | amino acid 
133 | sugar | carbohydrate | methionine | hydrophobic amino acid 
134 | uncoupling protein | integral protein | infrared ray | light 
134 | uncoupling protein | integral protein | infrared ray | electromagnetic energy 
134 | uncoupling protein | integral protein | infrared ray | radiation 
134 | uncoupling protein | integral protein | infrared ray | energy 
135 | uncoupling protein | transmembrane protein | infrared ray | light 
135 | uncoupling protein | transmembrane protein | infrared ray | electromagnetic energy 
135 | uncoupling protein | transmembrane protein | infrared ray | radiation 
136 | uncoupling protein | transport membrane protein | infrared ray | light 
