14331 | galactose | organic molecule | chromoplast | organelle 
18263 | nucleotide | double bond | carrier protein | kinetic energy 
7693 | plant cell | Golgi apparatus | hydroxide ion | oxygen atom 
18027 | NAD plus | covalent bond | alanine | nonpolar covalent bond 
14635 | CAM plant | plasmodesmata | cell wall | carbohydrate 
2315 | pyruvate | oxygen atom | rough endoplasmic reticulum | aqueous solution 
15706 | hydrophilic substance | hydrophilic compound | thylakoid membrane | ATP synthase 
10105 | mitogen-activated protein kinase | protein enzyme | rubisco | organic molecule 
8929 | carboxylic acid | carboxyl group | thylakoid | thylakoid space 
2468 | phosphodiester bond | ester linkage | cytochrome complex | cytochrome 
16298 | Fermentation | Metabolic pathway | Cell signaling with cAMP and G-protein coupled receptor | Cell signaling with G-protein coupled receptor 
3758 | chlorophyll A | methyl group | pentose | carbonyl group 
17506 | P680 | carbon skeleton | P700 | methyl group 
6593 | oligosaccharide | polar covalent bond | coenzyme A | kinetic energy 
19746 | amphipathic molecule | kinetic energy | oxygen molecule | nonpolar covalent bond 
10870 | glycoprotein | kinetic energy | ionic compound | ionic attraction 
7268 | intermediate filament | carbon skeleton | monosaccharide | hydroxyl group 
10830 | unsaturated fat | double bond | disaccharide | kinetic energy 
12727 | amylopectin | hydrogen atom | sunlight | visible light 
14476 | bound ribosome | ribosome | green light | light 
8298 | triose | polar covalent bond | water | potential energy 
14013 | actin | water soluble protein | Cellular respiration of fat | Catabolism 
4651 | ketone | kinetic energy | AMP | kinetic energy 
19498 | Golgi apparatus | cellular structure | chemical energy | potential energy 
16536 | polymer | covalent bond | lactic acid | kinetic energy 
51 | macrophage | Phagocytosis | lysosome | Intracellular digestion 
17750 | aqueous solution | solution | polar covalent bond | covalent bond 
6323 | AMP | single bond | aquaporin | kinetic energy 
10303 | carboxylic acid | carboxyl group | ribulose bisphosphate | hydroxyl group 
4016 | motor protein | carbon skeleton | phosphatidylcholine | hydrophilic head 
7881 | coenzyme A | sulfhydryl group | ribulose bisphosphate | carbon skeleton 
6891 | DNA | phosphodiester bond | phosphofructokinase | covalent bond 
32 | rubisco | kinetic energy | plant cell | turgor pressure 
19065 | hexose | polar covalent bond | disaccharide | polar covalent bond 
15475 | photosynthetic pigment | molecule | uncoupling protein | transport membrane protein 
5163 | maltose | organic molecule | actin | polymer 
14017 | chlorophyll B | carbonyl group | endoplasmic reticulum | cisternal space 
6914 | maltose | carbonyl group | coenzyme A | carbon skeleton 
19424 | hydrophobic amino acid | organic molecule | Pyruvate oxidation | Exergonic reaction 
11667 | thymine | nitrogenous base | water molecule | molecule 
12943 | nitrogenous base | hydrogen atom | hydroxide ion | oxygen atom 
685 | hydrogen ion | proton | proline | hydrogen atom 
4695 | starch | double bond | hydrocarbon molecule | single bond 
9696 | membrane protein | molecule | carbohydrate side chain | organic molecule 
13095 | lyase | protein | Fermentation | Exergonic reaction 
17489 | Polymer synthesis | Endergonic process | MRNA | RNA 
5366 | cytochrome | kinetic energy | cellulose | polar covalent bond 
15280 | monosaccharide | hydrogen atom | water vapour | water molecule 
15556 | paracrine | organic molecule | sunlight | light 
19704 | transport membrane protein | molecule | green light | light 
5297 | tubulin | water soluble protein | water soluble protein | polymer 
17906 | Lactic acid fermentation by bacteria | Exergonic reaction | deoxyribose | pentose 
9975 | alpha glucose | isomer | transport membrane protein | integral protein 
2460 | gated Channel | carbon skeleton | triose | carbonyl group 
8908 | ribosome | cellular structure | helium atom | inert atom 
3550 | P680 | single bond | carbohydrate | kinetic energy 
9623 | lead atom | atom | tryptophan | hydrophobic amino acid 
9587 | Cell communication with epinephrine | Cell communication with endocrine hormone | fungus | eukaryote 
13536 | gamete | eukaryotic cell | Fermentation | Anaerobic metabolism 
3068 | pyruvate | molecule | saturated fat | fat molecule 
7020 | ribulose bisphosphate | carbon skeleton | channel protein | hydrophilic Channel 
12181 | acetyl CoA | molecule | antiporter | integral protein 
1611 | gated Channel | kinetic energy | pyruvate | kinetic energy 
3577 | basic solution | cation | microvillus | microfilament 
10041 | tyrosine | nitrogen atom | water | water molecule 
12833 | ionic compound | cation | aqueous solution | water 
14443 | second law of thermodynamics | law of thermodynamics | central vacuole | vacuole 
6339 | carbon dioxide | compound | chromoplast | plastid 
9712 | glucose | polar covalent bond | tubulin | kinetic energy 
1681 | hypotonic solution | aqueous solution | nicotinamide | nitrogenous base 
1148 | ice | hydrogen-bond | triose | double bond 
10580 | sodium-potassium pump | single bond | ADP | single bond 
7457 | glycine | nonpolar covalent bond | ATP synthase | peptide linkage 
51 | aldehyde | atom | cytoskeleton | intermediate filament 
13985 | Golgi apparatus | cellular structure | DNA | nucleic acid 
14073 | PEP carboxylase | carbon skeleton | amino acid | amino group 
15478 | enzyme inhibitor | inhibitor | Receptor mediated endocytosis | Endocytosis 
1244 | PGAP | double bond | methane | single bond 
15922 | polar molecule | hydrophilic compound | secondary lysosome | lysosome 
19577 | electromagnetic spectrum | spectrum | allosteric enzyme | protein enzyme 
7574 | carbon dioxide | hydrophobic compound | proteoglycan | amphipathic molecule 
5327 | hexose | carbon skeleton | glycogen | carbon skeleton 
8093 | fructose | monosaccharide | acetaldehyde | aldehyde 
12469 | 3 phosphoglycerate | double bond | phosphofructokinase | covalent bond 
4203 | NADPH | carbon skeleton | prokaryote | nucleoid 
10792 | starch | storage polysaccharide | Fermentation | Metabolism 
4066 | macrophage | animal cell | isomerase | protein enzyme 
16361 | integrin | receptor protein | oligosaccharide | carbohydrate 
14117 | dynein | kinetic energy | hydrocarbon molecule | single bond 
5566 | transport membrane protein | transmembrane protein | membrane protein | protein 
13287 | aldehyde | carbon skeleton | oxidoreductase | carbon skeleton 
13627 | valine | organic molecule | ligase | protein enzyme 
5871 | chlorophyll A | photosynthetic pigment | glycine | hydrophobic amino acid 
7412 | protein kinase | molecule | gated Channel | transport membrane protein 
6551 | 3 phosphoglycerate | double bond | oxygen molecule | nonpolar covalent bond 
19635 | aqueous salt solution | ionic compound | exoskeleton | chitin 
11259 | polysaccharide | glycosidic linkage | ketone | double bond 
102 | microfibril | cellulose | thylakoid electron transport chain | plastocyanin 
6114 | dynein | organic molecule | pentose | carbohydrate 
12377 | microfilament | carbon skeleton | glycogen | hydroxyl group 
1034 | lactic acid | kinetic energy | alanine | kinetic energy 
3831 | Cellular respiration | Catabolic pathway | hypotonic solution | aqueous solution 
3793 | photosynthetic pigment | molecule | proteoglycan | glycoprotein 
15735 | Cyclic electron flow | Exergonic reaction | unsaturated fat | triglyceride 
5535 | nonpolar substance | hydrophobic substance | eukaryotic flagellum | flagellum 
16585 | glucose-6-phosphate | kinetic energy | asparagine | kinetic energy 
2247 | thylakoid electron transport chain | plastocyanin | photosystem | reaction-center complex 
12002 | beta tubulin | monomer | neutral solution | hydroxide ion 
2234 | secondary structure | hydrogen-bond | thylakoid space | aqueous solution 
4722 | amino acid | nitrogen atom | smooth endoplasmic reticulum | protein enzyme 
7608 | channel protein | protein | sucrose | organic molecule 
15181 | storage polysaccharide | polysaccharide | transmembrane protein | integral protein 
10719 | lipid | carbon skeleton | oxidoreductase | carbon skeleton 
7225 | glycogen | glucose | fat molecule | fatty acid 
8492 | tyrosine | hydrophilic amino acid | secondary lysosome | lysosome 
3943 | Exocytosis | Endergonic process | transport membrane protein | integral protein 
12985 | unsaturated fat | double bond | tyrosine | nonpolar covalent bond 
15002 | glutamic acid | acidic amino acid | Conversion of lactate to pyruvate by liver cell | Redox reaction 
12009 | vesicle | aqueous solution | smooth endoplasmic reticulum | aqueous solution 
16440 | proton pump | double bond | basic amino acid | single bond 
795 | sucrose | double bond | acidic amino acid | single bond 
15775 | maltose | polar covalent bond | glycine | kinetic energy 
13543 | optical isomer | isomer | Catabolic pathway | Metabolic pathway 
8583 | glycine | kinetic energy | tyrosine | kinetic energy 
12622 | intermediate filament | kinetic energy | carrier protein | peptide linkage 
9422 | basic amino acid | amino acid | carbohydrate side chain | carbohydrate 
11735 | pyruvate | organic molecule | Inactivation of cAMP | Hydrolysis 
7988 | protein | peptide linkage | oxygen molecule | double bond 
3438 | PEP carboxylase | kinetic energy | hydroxide ion | polar covalent bond 
3599 | Cellular respiration of glycogen | Catabolism | Lactic acid fermentation by bacteria | Fermentation 
14287 | asparagine | kinetic energy | plastoquinone | kinetic energy 
10770 | globular protein | molecule | Lactic acid fermentation by bacteria | Metabolism 
19034 | Signal transduction with testosterone | Signal transduction | concentration gradient | gradient 
11454 | amphipathic molecule | kinetic energy | polysaccharide | double bond 
16911 | Fermentation | Chemical reaction | tubulin | organic molecule 
5140 | basic solution | aqueous solution | glycolipid | lipid 
15930 | NADH | carbon skeleton | hexose | carbon skeleton 
2752 | amphipathic molecule | kinetic energy | ionic compound | ionic attraction 
14514 | nucleoside | organic molecule | Eukaryotic oxidative phosphorylation | Oxidative phosphorylation 
8400 | fructose | ketone | methane | hydrocarbon molecule 
15768 | proton pump | transport membrane protein | radioactive isotope | isotope 
10268 | FAD | organic molecule | plant | eukaryote 
9002 | aquaporin | channel protein | Photosynthesis | Anabolic pathway 
7529 | PGAP | single bond | FADH2 | kinetic energy 
8184 | hydrophilic substance | hydrophilic compound | buffer | base 
11834 | alpha glucose | sugar | ion-channel | integral protein 
8909 | algae | eukaryote | Fermentation | Exergonic reaction 
14898 | maltose | carbonyl group | GTP | carbon skeleton 
8946 | intercellular junction | cellular structure | threonine | hydrophilic amino acid 
1388 | extra cellular matrix | motor protein | thylakoid space | aqueous solution 
6626 | Aerobic metabolism | Metabolism | peptide linkage | polar covalent bond 
4098 | receptor protein | organic molecule | cis trans isomer | molecule 
3735 | hydrocarbon molecule | carbon skeleton | allosteric enzyme | active site 
359 | Chemical equilibrium reaction | Reversible reaction | amphipathic molecule | molecule 
17129 | symporter | integral protein | uniporter | integral protein 
2821 | radioactive isotope | isotope | multiprotein complex-III | protein complex 
15861 | sulfhydryl group | functional group | Photosynthesis | Anabolic pathway 
1890 | carbon dioxide | molecule | first law of thermodynamics | scientific law 
11652 | fat molecule | organic molecule | globular protein | water soluble protein 
7914 | unsaturated fat | triglyceride | animal | multicellular organism 
11725 | chitin | polar covalent bond | electron | potential energy 
18249 | monosaccharide | carbohydrate | prokaryotic flagellum | cellular structure 
7526 | glucose-6-phosphate | kinetic energy | hydrocarbon molecule | kinetic energy 
10675 | chlorophyll B | single bond | carbohydrate side chain | polar covalent bond 
14141 | photosynthetic pigment | pigment | Forward reaction | Chemical reaction 
10618 | PEP carboxylase | protein enzyme | allosteric enzyme | enzyme 
12803 | carbohydrate side chain | hydroxyl group | amylose | carbon skeleton 
15384 | NAD plus | carbon skeleton | storage polysaccharide | carbonyl group 
3671 | bacterium | prokaryote | hydrophilic compound | compound 
8680 | pyruvate | organic molecule | hydroxyl group | functional group 
3797 | asparagine | carbonyl group | smooth endoplasmic reticulum | cisternal space 
1715 | ketone | double bond | cytochrome | kinetic energy 
7879 | glyceraldehyde-3-phosphate | carbohydrate | connexon | transport membrane protein 
7292 | motor protein | kinetic energy | AMP | kinetic energy 
11606 | actin | globular protein | carbohydrate | organic molecule 
8707 | MRNA | phosphorus atom | cell wall | carbohydrate 
6329 | animal | water | neutral solution | hydrogen ion 
5915 | Pyruvate oxidation | Exergonic reaction | diacylglycerol | lipid 
282 | carbon dioxide | polar covalent bond | ADP | double bond 
3415 | pentose | double bond | nucleotide | kinetic energy 
3869 | sodium-potassium pump | single bond | chlorophyll B | single bond 
9328 | FADH2 | kinetic energy | ATP synthase | kinetic energy 
